installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,state,zip_code,utility_service_territory,third_party_owned,installer_name,tracking,ground_mounted,azimuth_1,tilt_1,module_manufacturer_1,module_model_1,module_quantity_1,technology_module_1,efficiency_module_1,inverter_manufacturer_1,inverter_model_1,output_capacity_inverter_1,inverter_loading_ratio,battery_rated_capacity_kWh,price_per_watt
07-10-2015,7.78,38444,5915,RES,CA,92314,bear valley electric,0,Pell Solar,,,,,-1,-1,30,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.0805556,,4.941388175
28-09-2015,15.13,57589.25,11386,RES,CA,92315,bear valley electric,0,Petersendean,,,,,-1,-1,55,-1,,-1,-1,,,,3.80629544
28-09-2015,3.78,11000,3168,RES,CA,92314,bear valley electric,0,Terawatt Construction,,,,,American Solar Wholesale,ASW-315P,12,Multi-c-Si,0.16283613,SMA America,sb3800tl-us-22,3.85,0.9818182,,2.91005291
09-10-2015,6.21,27565,5054,RES,CA,92314,bear valley electric,0,Sea Bright Solar,,,,,SunPower,-1,18,-1,,SolarEdge Technologies Ltd.,se3000,3.01,1.0315615,,4.438808374
23-10-2015,7.7,29500,6403,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,28,-1,,-1,-1,,,,3.831168831
23-11-2015,9.45,3813.1,7069,RES,CA,92315,bear valley electric,0,Helio Power,,,,,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HiS-M270RG,35,Multi-c-Si,0.16496408,SolarEdge Technologies Ltd.,se7600a-us [240v],7.625,1.2393442,,0.403502646
23-11-2015,7.8531756,41182,6074,RES,CA,92314,bear valley electric,0,Verengo,,,,,-1,-1,30,-1,,-1,-1,,,,5.243993271
23-11-2015,4.08,17150,2649,RES,CA,92314,bear valley electric,0,Southland Solar,,,,,"CSI Solar Co., Ltd.",CS6P-255P,16,Multi-c-Si,0.1646452,-1,-1,,,,4.203431373
20-11-2015,5.6,25000,4905,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,20,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,4.464285714
28-01-2016,3.06,12600,2522,RES,CA,92314,bear valley electric,0,Green Volt Energy,,,,,"CSI Solar Co., Ltd.",CS6P-255P,12,Multi-c-Si,0.1646452,-1,-1,,,,4.117647059
20-11-2015,7,29125,4548,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,25,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,4.160714286
28-01-2016,3.08,12240,2497,RES,CA,92314,bear valley electric,0,Green Volt Energy,,,,,-1,-1,11,-1,,-1,-1,,,,3.974025974
